Proveedor,Valor Total,Cantidad Contratos,% Total,% Acumulado,Departamento más frecuente,Valor Total (COP),% Total fmt,% Acumulado fmt
MUNICIPIO ALCALDIA DE ONZAGA,3.3556091726178365e+18,9,59.59609389693396,59.59609389693396,SANTANDER,"$3,355,609,172,617,836,544",59.60%,59.60%
UNIVERSIDAD DE ANTIOQUIA,1.3600244030776095e+18,628,24.154225912042953,83.75031980897691,ANTIOQUIA,"$1,360,024,403,077,609,472",24.15%,83.75%
CORPORACION CONSTRULET S.A.S,2.1479023164036877e+17,6,3.814704917795101,87.56502472677201,ANTIOQUIA,"$214,790,231,640,368,768",3.81%,87.57%
NO DEFINIDO,1.4315792238548242e+17,467,2.542504965773273,90.10752969254528,,"$143,157,922,385,482,416",2.54%,90.11%
UNION TEMPORAL REDES ELECTRICAS,1.36974052809139e+17,1,2.4326785667618984,92.54020825930718,,"$136,974,052,809,139,008",2.43%,92.54%
URBE,8.90698000477304e+16,1,1.5818922568043101,94.12210051611149,ANTIOQUIA,"$89,069,800,047,730,400",1.58%,94.12%
ASEGURADORA SOLIDARIA DE COLOMBIA ENTIDAD COOPERATIVA.,7.701532965049912e+16,3651,1.3678031562220883,95.48990367233358,BOGOTA D.C.,"$77,015,329,650,499,120",1.37%,95.49%
FUNDACION UNIDOS POR MAS SONRISAS,6.4000003504835784e+16,8,1.136649121537218,96.6265527938708,ATLANTICO,"$64,000,003,504,835,784",1.14%,96.63%
FUNDACION HASVIDA,5.935632431542358e+16,13,1.0541767218138773,97.68072951568467,SANTANDER,"$59,356,324,315,423,584",1.05%,97.68%
FUNDACION SOÑANDO POR NUESTRO MUNDO,3.765753348963715e+16,206,0.6688031252532706,98.34953264093795,BOYACA,"$37,657,533,489,637,152",0.67%,98.35%
MAQUINARIAS PARA AREAS VERDES SA MAQUIVER SA,1.285845141498041e+16,17,0.22836791726210054,98.57790055820006,CUNDINAMARCA,"$12,858,451,414,980,410",0.23%,98.58%
RODRIGO VALENCIA VILLARREAL,1.101518084369896e+16,15,0.19563117099857638,98.77353172919864,,"$11,015,180,843,698,960",0.20%,98.77%
CAFAM,1.0555774299931756e+16,140,0.18747204575162252,98.96100377495026,BOGOTA D.C.,"$10,555,774,299,931,756",0.19%,98.96%
CORPORACIÓN EVG EXTEMO,8839189563650700.0,3,0.1569852578502651,99.11798903280052,,"$8,839,189,563,650,700",0.16%,99.12%
CARLOS AUGUSTO HERNANDEZ SANCHEZ,8811774028192352.0,104,0.15649835405981688,99.27448738686034,,"$8,811,774,028,192,352",0.16%,99.27%
LIGA DE AJEDREZ DEL CESAR,8716628028368832.0,2,0.15480854763489985,99.42929593449524,,"$8,716,628,028,368,832",0.15%,99.43%
FUNDACIÓN PARA LA INNOVACIÓN DE LAS CIENCIAS DEL DEPORTE,6514267146190455.0,5,0.11569430662010306,99.54499024111534,SUCRE,"$6,514,267,146,190,455",0.12%,99.54%
CIFRAS ASESORÍAS Y PROYECTOS CIASPRO S.A.S.,6453841107813781.0,22,0.11462113162514183,99.65961137274049,NARINO,"$6,453,841,107,813,781",0.11%,99.66%
LABCARE DE COLOMBIA SAS,6158798067590020.0,773,0.10938112546700672,99.7689924982075,,"$6,158,798,067,590,020",0.11%,99.77%
RADIO TELEVISION NACIONAL DE COLOMBIA.,3265719090212520.0,120,0.05799963330934678,99.82699213151685,BOGOTA D.C.,"$3,265,719,090,212,520",0.06%,99.83%
