Categoría duración,Departamento,Valor Promedio,Cantidad Contratos,Duración Promedio Días
Corto,ANTIOQUIA,900955313270.2256,9812,11.840705258866693
Corto,ATLÁNTICO,629690004732.5903,1018,13.767190569744598
Corto,BOYACÁ,4842966475865.783,7776,11.050411522633745
Corto,CESAR,197516414.88396156,1353,11.276422764227643
Corto,CUNDINAMARCA,1398165577.9255013,6980,11.323638968481376
Corto,DISTRITO CAPITAL DE BOGOTÁ,227836216207.56415,14344,13.694436698271055
Corto,NO DEFINIDO,464831615990.56915,4359,11.72814865794907
Corto,SANTANDER,62900081.687198065,4140,12.280193236714975
Corto,SUCRE,61954044.91777509,827,11.54776299879081
Corto,VALLE DEL CAUCA,2043695176162.1377,6292,12.802447552447552
Mediano,ANTIOQUIA,8016684469153.491,55866,148.2777002112197
Mediano,ATLÁNTICO,14777429379231.363,9275,157.03525606469003
Mediano,BOYACÁ,1026460827.6128646,20879,139.20882226160256
Mediano,CESAR,1886116385453.5854,4624,135.10034602076124
Mediano,CUNDINAMARCA,3642717159864.5806,21144,137.58347521755582
Mediano,DISTRITO CAPITAL DE BOGOTÁ,65506078102.92802,258720,148.80879715522573
Mediano,NO DEFINIDO,393883710689.4779,16394,147.48353055996097
Mediano,SANTANDER,150383806449813.06,22767,149.6053937716871
Mediano,SUCRE,1837958285940.272,3545,133.86064880112835
Mediano,VALLE DEL CAUCA,359554636734.9827,31569,138.39674997624252
Largo,ANTIOQUIA,13765397033.900826,968,1240.2376033057851
Largo,ATLÁNTICO,16252849858.975904,166,4530.590361445783
Largo,BOYACÁ,4087947524.491803,183,2105.6939890710382
Largo,CESAR,26343981174.989475,95,700.7368421052631
Largo,CUNDINAMARCA,10941659517.582067,658,1665.5683890577507
Largo,DISTRITO CAPITAL DE BOGOTÁ,7218060427.875306,35495,5159.670263417383
Largo,NO DEFINIDO,2304872431.481752,274,743.8394160583941
Largo,SANTANDER,8615631607.512049,332,889.7590361445783
Largo,SUCRE,7207330371.77027,74,931.7162162162163
Largo,VALLE DEL CAUCA,9145836654.449116,452,376130.8230088496
