ordenentidad,estado_del_procedimiento,Cantidad
TERRITORIAL,PUBLICADO,1870488
NACIONAL,PUBLICADO,582051
TERRITORIAL,EVALUACIÓN,252363
NACIONAL,EVALUACIÓN,235142
CORPORACIÓN AUTÓNOMA,PUBLICADO,39543
TERRITORIAL,BORRADOR,23621
NACIONAL,ABIERTO,16802
NACIONAL,BORRADOR,15642
TERRITORIAL,ABIERTO,13761
CORPORACIÓN AUTÓNOMA,EVALUACIÓN,5587
TERRITORIAL,EN APROBACIÓN,2599
CORPORACIÓN AUTÓNOMA,BORRADOR,2324
NACIONAL,EN APROBACIÓN,1632
CORPORACIÓN AUTÓNOMA,ABIERTO,264
NO DEFINIDO,PUBLICADO,85
TERRITORIAL,SUSPENDIDO,71
NACIONAL,SUSPENDIDO,70
CORPORACIÓN AUTÓNOMA,EN APROBACIÓN,58
NO DEFINIDO,ABIERTO,8
CORPORACIÓN AUTÓNOMA,SUSPENDIDO,2
NO DEFINIDO,BORRADOR,1
