entidad,Total_Procesos,Valor_Total,Valor_Promedio,Tipo_Frecuente,Tasa_Celebracion_Pct
.SECRETARÍA DISTRITAL DE SALUD..,602,0.0,0.0,Prestación de servicios,0.0
ADMINISTRACIÓN PUBLICA COOPERATIVA SERVICIOS PÚBLICOS ONZAGA,82,0.0,0.0,Prestación de servicios,0.0
ADMINISTRADORA COLOMBIANA DE PENSIONES COLPENSIONES,2084,977804744990.0,469196134.8320537,Prestación de servicios,0.0
AEROPUERTO INTERNACIONAL SANTA ANA S.A,41,45887260029.0,1119201464.121951,Otro,0.0
AGENCIA DE DESARROLLO RURAL,12378,1169587536083.0,94489217.65091291,Prestación de servicios,0.0
AGENCIA ESPACIAL DE COLOMBIA,1,0.0,0.0,Otro,0.0
AGUAS DE CASTILLA S.A E.S.P,114,11082182556.0,97212127.68421052,Prestación de servicios,0.0
AGUAS DE PUERTO WILCHES SAS ESP,84,0.0,0.0,Decreto 092 de 2017,0.0
AGUAS DE SINCE SAS ESP,91,0.0,0.0,Prestación de servicios,0.0
AGUAS MANANTIALES DE PACORA,106,0.0,0.0,Decreto 092 de 2017,0.0
ALCADIA MUNICIPAL PUEBLO BELLO,19,34262948083.0,1803313057.0,Decreto 092 de 2017,0.0
ALCALDIA DE BECERRIL CESAR,902,158331987328.0,175534354.02217296,Prestación de servicios,0.0
ALCALDIA DE CARTAGENA LOCALIDAD DE LA VIRGEN Y TURISTICA,1,0.0,0.0,Suministros,0.0
ALCALDIA DE LA APARTADA CORDOBA,496,10047368555.0,20256791.441532258,Prestación de servicios,0.0
ALCALDIA DE MANAURE BALCON DEL CESAR,19,915149245.0,48165749.7368421,Decreto 092 de 2017,0.0
