entidad,valor_total_adjudicacion,tipo_de_contrato,departamento_entidad,estado_del_procedimiento,sigmas_sobre_media
MUNICIPIO DE JERICO - ANTIOQUIA,1.4315640288e+17,Prestación de servicios,Antioquia,SELECCIONADO,2302.84966736748
EMPRESA DE SERVICIOS PÚBLICOS DE FUSAGASUGÁ,7.701273142637568e+16,Decreto 092 de 2017,Cundinamarca,SELECCIONADO,707.2160871920297
ALCALDIA MUNICIPAL DE BUGA,1.10151799298625e+16,Suministros,Valle del Cauca,SELECCIONADO,625.4813721994622
INSTITUTO DISTRITAL DE DEPORTE Y RECREACION DE CARTAGENA - IDER,6.399999888e+16,Decreto 092 de 2017,Bolívar,SELECCIONADO,587.7184825181228
DEPARTAMENTO DE SANTANDER,3.355609172320196e+18,Otro,Santander,SELECCIONADO,585.3583280408196
ALCALDIA MUNICIPAL DE PUENTE NACIONAL,5.93563224101409e+16,Decreto 092 de 2017,Santander,SELECCIONADO,545.0750013698607
DEPARTAMENTO DE SANTANDER,8811763956840000.0,Suministros,Santander,SELECCIONADO,500.36314042757874
INSTITUTO MUNICIPAL DEL DEPORTE Y LA RECREACION DE YUMBO,1.2858450316e+16,Compraventa,Valle del Cauca,SELECCIONADO,500.04099350884445
INSTITUCION EDUCATIVA ELISEO PAYAN,6453840000000000.0,Obra,No Definido,SELECCIONADO,360.12764940800287
DEPARTAMENTO DE CUNDINAMARCA- SECRETARIA DE SALUD,6158661742599964.0,Compraventa,Distrito Capital de Bogotá,SELECCIONADO,239.49753696905483
SENA DIRECCION GENERAL,311718748000.0,Arrendamiento de inmuebles,Distrito Capital de Bogotá,SELECCIONADO,210.7573476918637
ALCALDÍA DE POPAYÁN,55129949.0,No Especificado,Cauca,SELECCIONADO,198.48540284350915
MUNICIPIO DE FIRAVITOBA,1.1877456456257536e+16,Prestación de servicios,Boyacá,SELECCIONADO,191.06319618072837
MUNICIPIO DE FIRAVITOBA,1.1877456456257536e+16,Prestación de servicios,Boyacá,SELECCIONADO,191.06319618072837
MUNICIPIO DE FIRAVITOBA,1.1877456456257536e+16,Prestación de servicios,Boyacá,SELECCIONADO,191.06319618072837
ICBF REGIONAL CUNDINAMARCA,1.055567034078726e+16,Prestación de servicios,Distrito Capital de Bogotá,SELECCIONADO,169.80060905237988
RAMA JUDICIAL  DIRECCIÓN SECCIONAL DE ADMINISTRACIÓN JUDICIAL DE BARRANQUILLA,1.36974052809139e+17,Interventoría,Atlántico,SELECCIONADO,162.42228919126543
GOBERNACION DEL CHOCÓ.,1.360023383031e+18,Consultoría,No Definido,ABIERTO,149.0603905972289
ALCALDÍA DE POPAYÁN,37135974.0,No Especificado,Cauca,SELECCIONADO,133.69925422915034
ALCALDÍA DE POPAYÁN,27500254.0,No Especificado,Cauca,SELECCIONADO,99.00646467451612
ESTABLECIMIENTO PENITENCIARIO DE MEDIANA SEGURIDAD Y CARCELARIO DE ISTMINA,1547536012440000.0,Suministros,Chocó,SELECCIONADO,87.8730038763402
MUNICIPIO DE ENVIGADO*,8839189460374700.0,Decreto 092 de 2017,Antioquia,SELECCIONADO,81.16964091029298
GOBERNACION DEL DEPARTAMENTO DEL CESAR,8716627998844896.0,Decreto 092 de 2017,Cesar,SELECCIONADO,80.04414316983384
INVIAS,114134069987.0,Acuerdo Marco de Precios,Distrito Capital de Bogotá,SELECCIONADO,60.633314447861494
IMDERCOR,6514265521000000.0,Decreto 092 de 2017,Sucre,SELECCIONADO,59.819563913461145
INVIAS,108734135042.0,Acuerdo Marco de Precios,Distrito Capital de Bogotá,SELECCIONADO,57.761978566769024
GOBERNACION DEL AMAZONAS,3247860100000000.0,Prestación de servicios,Amazonas,SELECCIONADO,52.24531766025244
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE DEFENSA NACIONAL,394900588514.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,43.35887294117026
MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,180000000000.0,Servicios financieros,Distrito Capital de Bogotá,SELECCIONADO,41.78757618661558
PROSPERIDAD SOCIAL,168263533881.0,Servicios financieros,Distrito Capital de Bogotá,SELECCIONADO,39.06001869225141
INVIAS,71143051881.0,Acuerdo Marco de Precios,Distrito Capital de Bogotá,SELECCIONADO,37.77347370723312
EMPRESA AUTONOMA GUATAPE,2.1479023001397952e+17,Otro,Antioquia,SELECCIONADO,37.46664565580979
MINISTERIO DE AGRICULTURA Y DESARROLLO RURAL,150000000000.0,Servicios financieros,Distrito Capital de Bogotá,SELECCIONADO,34.81556911044322
ALCALDIA MUNICIPAL DE SAN ESTANISLAO DE KOSTKA,2025000000000000.0,Prestación de servicios,No Definido,SELECCIONADO,32.57407953956751
MUNICIPIO DE TENZA BOYACA,2025000000000000.0,Prestación de servicios,Boyacá,ABIERTO,32.57407953956751
BANCO INMOBILIARIO DE FLORIDABLANCA,478999170137.0,Asociación Público Privada,Santander,SELECCIONADO,32.54050208298054
MINISTERIO DE DEFENSA NACIONAL,281067542000.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,30.84176549687776
MINISTERIO DE DEFENSA NACIONAL,281067542000.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,30.84176549687776
MINISTERIO DE DEFENSA NACIONAL,281067542000.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,30.84176549687776
MINISTERIO DE DEFENSA NACIONAL,281067542000.0,Seguros,Distrito Capital de Bogotá,SELECCIONADO,30.84176549687776
